Permit #,City,State,ZIP,District,Date issued,Mapped Location,location,lat,lng
338,Nashville,TN,37209,24,12/4/2015,"Nashville, TN 37209
(36.149599, -86.874487)","(36.149599, -86.874487)",36.149599,-86.874487
305,Nashville,TN,37013,33,12/4/2015,"Nashville, TN 37013
(36.049335, -86.641832)","(36.049335, -86.641832)",36.049335,-86.641832
178,Nashville,TN,37216,7,12/4/2015,"Nashville, TN 37216
(36.216134, -86.726204)","(36.216134, -86.726204)",36.216134,-86.726204
171,Nashville,TN,37115,9,12/4/2015,"Nashville, TN 37115
(36.262567, -86.704171)","(36.262567, -86.704171)",36.262567,-86.704171
41,Nashville,TN,37215,25,12/4/2015,"Nashville, TN 37215
(36.091316, -86.827959)","(36.091316, -86.827959)",36.091316,-86.827959
290,Nashville,TN,37209,22,12/4/2015,"Nashville, TN 37209
(36.149599, -86.874487)","(36.149599, -86.874487)",36.149599,-86.874487
287,Nashville,TN,37215,25,12/1/2015,"Nashville, TN 37215
(36.091316, -86.827959)","(36.091316, -86.827959)",36.091316,-86.827959
437,Nashville,TN,37013,23,12/1/2015,"Nashville, TN 37013
(36.049335, -86.641832)","(36.049335, -86.641832)",36.049335,-86.641832
268,Nashville,TN,37214,15,12/1/2015,"Nashville, TN 37214
(36.168995, -86.667231)","(36.168995, -86.667231)",36.168995,-86.667231
21,Nashville,TN,37205,24,12/1/2015,"Nashville, TN 37205
(36.112469, -86.867263)","(36.112469, -86.867263)",36.112469,-86.867263
330,Nashville,TN,37206,6,12/1/2015,"Nashville, TN 37206
(36.18095, -86.739624)","(36.18095, -86.739624)",36.18095,-86.739624
127,Nashville,TN,37076,24,12/1/2015,"Nashville, TN 37076
(36.175185, -86.5933)","(36.175185, -86.5933)",36.175185,-86.5933
422,Nashville,TN,37206,6,12/1/2015,"Nashville, TN 37206
(36.18095, -86.739624)","(36.18095, -86.739624)",36.18095,-86.739624
450,Nashville,TN,37211,26,12/1/2015,"Nashville, TN 37211
(36.069132, -86.724578)","(36.069132, -86.724578)",36.069132,-86.724578
469,Nashville,TN,37203,6,12/1/2015,"Nashville, TN 37203
(36.150195, -86.790206)","(36.150195, -86.790206)",36.150195,-86.790206
